S000000001	TFC3	YAL001C|FUN24|TSV115
S000001635	GPM1	YKL152C|phosphoglycerate mutase GPM1
S000001637	SRP102	YKL154W
S000001638	RSM22	YKL155C|mitochondrial 37S ribosomal protein RSM22
S000001639	RPS27A	YKL156W|ribosomal 40S subunit protein S27A
S000001640	APE2	YKL157W|LAP1|YKL158W
S000001642	RCN1	YKL159C
S000001643	ELF1	YKL160W
S000001644	KDX1	YKL161C|MLP1
S000001645	YKL162C	YKL162C
S000001646	PIR3	YKL163W|CCW8
S000001647	PIR1	YKL164C|CCW6
S000001648	MCD4	YKL165C|FSR2|SSU21|ZRG16
S000001649	TPK3	YKL166C
S000001650	MRP49	YKL167C|mitochondrial 54S ribosomal protein MRP49
S000001651	KKQ8	YKL168C
S000001653	MRPL38	YKL170W|MRPL34|mitochondrial 54S ribosomal protein YmL38/YmL34
S000001654	NNK1	YKL171W
S000001655	EBP2	YKL172W
S000001656	SNU114	YKL173W|GIN10
S000001657	TPO5	YKL174C
S000001658	ZRT3	YKL175W|Zn(2+) transporter ZRT3
S000001659	LST4	YKL176C
S000001661	STE3	YKL178C|DAF2
S000001662	COY1	YKL179C
S000001663	RPL17A	YKL180W|RPL17|ribosomal 60S subunit protein L17A
S000001664	PRS1	YKL181W|PRP1|ribose phosphate diphosphokinase subunit PRS1
S000001665	FAS1	YKL182W|tetrafunctional fatty acid synthase subunit FAS1
S000001666	LOT5	YKL183W
S000001667	SPE1	YKL184W|ORD1|SPE10|ornithine decarboxylase SPE1
S000001668	ASH1	YKL185W
S000001669	MTR2	YKL186C
S000001670	FAT3	YKL187C
S000001671	PXA2	YKL188C|ATP-binding cassette long-chain fatty acid transporter PXA2|PAT1
S000001672	HYM1	YKL189W
S000001673	CNB1	YKL190W|CRV1|YCN2
S000001674	DPH2	YKL191W
S000001675	ACP1	YKL192C
S000001676	SDS22	YKL193C|EGP1
S000001677	MST1	YKL194C|threonine--tRNA ligase MST1
S000001678	MIA40	YKL195W|FMP15|TIM40
S000001679	YKT6	YKL196C
S000001680	PEX1	YKL197C|AAA family ATPase peroxin 1|PAS1
S000001681	PTK1	YKL198C|KKT8|POT1|STK1|YKL199C|YKT9
S000001684	MNN4	YKL201C|YKL200C
S000001686	TOR2	YKL203C|DRR2
S000001687	EAP1	YKL204W
S000001688	LOS1	YKL205W
S000001689	ADD66	YKL206C|PBA2|POC2
S000001690	EMC3	YKL207W|AIM27|LRC3
S000001691	CBT1	YKL208W|SOC1
S000001692	STE6	YKL209C|ATP-binding cassette alpha-factor transporter STE6
S000001693	UBA1	YKL210W|E1 ubiquitin-activating protein UBA1
S000001694	TRP3	YKL211C|bifunctional anthranilate synthase/indole-3-glycerol-phosphate synthase
S000001695	SAC1	YKL212W|RSD1|phosphatidylinositol-3-phosphatase SAC1
S000001696	DOA1	YKL213C|UFD3|ZZZ4
S000001697	YRA2	YKL214C
S000001698	OXP1	YKL215C
S000001699	URA1	YKL216W|dihydroorotate dehydrogenase
S000001700	JEN1	YKL217W
S000001701	SRY1	YKL218C|threo-3-hydroxy-L-aspartate ammonia-lyase SRY1
S000001702	COS9	YKL219W
S000001703	FRE2	YKL220C
S000001704	MCH2	YKL221W
S000001705	YKL222C	YKL222C
S000001707	PAU16	YKL224C
S000001709	VPS1	YKR001C|GRD1|LAM1|SPO15|VPL1|VPT26
S000001710	PAP1	YKR002W
S000001711	OSH6	YKR003W|oxysterol-binding protein OSH6
S000001712	ECM9	YKR004C|YKR004C-A
S000001713	YKR005C	YKR005C
S000001714	MRPL13	YKR006C|YK105|mitochondrial 54S ribosomal protein YmL13
S000001715	MEH1	YKR007W|EGO1|GSE2
S000001716	RSC4	YKR008W
S000001717	FOX2	YKR009C|POX2|bifunctional hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase FOX2
S000001718	TOF2	YKR010C
S000001719	YKR011C	YKR011C|TOS5
S000001721	PRY2	YKR013W|YFW12
S000001722	YPT52	YKR014C
S000001723	YKR015C	YKR015C
S000001724	FCJ1	YKR016W|AIM28|FMP13
S000001725	HEL1	YKR017C
S000001726	YKR018C	YKR018C
S000001727	IRS4	YKR019C
S000001728	VPS51	YKR020W|API3|VPS67|WHI6
S000001729	ALY1	YKR021W|ART6
S000001730	NTR2	YKR022C
S000001731	YKR023W	YKR023W
S000001732	DBP7	YKR024C
S000001733	RPC37	YKR025W
S000001734	GCN3	YKR026C|AAS2
S000001735	BCH2	YKR027W|FMP50
S000001736	SAP190	YKR028W
S000001737	SET3	YKR029C
S000001738	GMH1	YKR030W|MSG1
S000001739	SPO14	YKR031C|PLD1|phospholipase D
S000001742	DAL80	YKR034W|UGA43
S000001744	CAF4	YKR036C
S000001745	SPC34	YKR037C
S000001746	KAE1	YKR038C
S000001747	GAP1	YKR039W
S000001749	YKR041W	YKR041W
S000001750	UTH1	YKR042W
S000001751	SHB17	YKR043C
S000001752	UIP5	YKR044W
S000001753	YKR045C	YKR045C
S000001754	PET10	YKR046C
S000001756	NAP1	YKR048C
S000001757	FMP46	YKR049C
S000001758	TRK2	YKR050W|RPD2
S000001759	YKR051W	YKR051W
S000001760	MRS4	YKR052C
S000001761	YSR3	YKR053C|LBP2|sphinganine kinase YSR3
S000001762	DYN1	YKR054C|DHC1|PAC6|dynein heavy chain
S000001763	RHO4	YKR055W
S000001764	TRM2	YKR056W|NUC2|NUD1|RNC1
S000001765	RPS21A	YKR057W|RPS25|ribosomal 40S subunit protein S21A
S000001766	GLG1	YKR058W|glycogenin glucosyltransferase GLG1
S000001767	TIF1	YKR059W
S000001768	UTP30	YKR060W
S000001769	KTR2	YKR061W
S000001770	TFA2	YKR062W
S000001771	LAS1	YKR063C
S000001772	OAF3	YKR064W
S000001773	PAM17	YKR065C|FMP18
S000001774	CCP1	YKR066C
S000001775	GPT2	YKR067W|GAT1|bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase GPT2
S000001776	BET3	YKR068C
S000001777	MET1	YKR069W|MET20|uroporphyrinogen-III C-methyltransferase
S000001778	YKR070W	YKR070W
S000001779	DRE2	YKR071C
S000001780	SIS2	YKR072C|HAL3|phosphopantothenoylcysteine decarboxylase complex subunit SIS2
S000001782	AIM29	YKR074W
S000001783	YKR075C	YKR075C
S000001784	ECM4	YKR076W|GTO2
S000001785	MSA2	YKR077W
S000001786	YKR078W	YKR078W
S000001787	TRZ1	YKR079C
S000001788	MTD1	YKR080W|methylenetetrahydrofolate dehydrogenase (NAD(+))
S000001789	RPF2	YKR081C
S000001790	NUP133	YKR082W|RAT3
S000001791	DAD2	YKR083C|HSK1
S000001792	HBS1	YKR084C
S000001793	MRPL20	YKR085C|mitochondrial 54S ribosomal protein YmL20
S000001794	PRP16	YKR086W|DEAH-box RNA helicase PRP16|PRP23|RNA16
S000001795	OMA1	YKR087C
S000001796	TVP38	YKR088C
S000001797	TGL4	YKR089C|STC1
S000001798	PXL1	YKR090W
S000001799	SRL3	YKR091W
S000001800	SRP40	YKR092C
S000001801	PTR2	YKR093W
S000001802	RPL40B	YKR094C|CEP52B|UB12|UBI2|ubiquitin-ribosomal 60S subunit protein L40B fusion protein
S000001803	MLP1	YKR095W|MPL1
S000001804	ESL2	YKR096W
S000001805	PCK1	YKR097W|JPM2|PPC1|phosphoenolpyruvate carboxykinase PCK1
S000001806	UBP11	YKR098C
S000001807	BAS1	YKR099W
S000001808	SKG1	YKR100C|YKR099C-A
S000001809	SIR1	YKR101W
S000001810	FLO10	YKR102W
S000001811	NFT1	YKR103W|putative multidrug transporter NFT1
S000001812	YKR104W	YKR104W|NFT1
S000001813	VBA5	YKR105C
S000001814	GEX2	YKR106W
S000001817	YAL065C	YAL065C
S000001826	YFL068W	YFL068W
S000001827	YFL067W	YFL067W
S000001828	YFL066C	YFL066C|Y' element ATP-dependent helicase
S000001829	YFL065C	YFL065C
S000001830	YFL064C	YFL064C
S000001832	COS4	YFL062W
S000001833	DDI2	YFL061W
S000001834	SNO3	YFL060C
S000001835	SNZ3	YFL059W
S000001836	THI5	YFL058W
S000001837	AAD16	YFL057C
S000001838	AAD6	YFL056C
S000001839	AGP3	YFL055W
S000001840	YFL054C	YFL054C
S000001841	DAK2	YFL053W
S000001842	YFL052W	YFL052W|ROP1
S000001843	YFL051C	YFL051C
S000001844	ALR2	YFL050C|putative Mg(2+) transporter ALR2
S000001845	SWP82	YFL049W
S000001846	EMP47	YFL048C
S000001847	RGD2	YFL047W
S000001848	FMP32	YFL046W
S000001849	SEC53	YFL045C|ALG4|phosphomannomutase SEC53
S000001850	OTU1	YFL044C|YOD1
S000001852	YFL042C	YFL042C|YFL043C
S000001853	FET5	YFL041W
S000001854	YFL040W	YFL040W
S000001855	ACT1	YFL039C|ABY1|END7|actin
S000001856	YPT1	YFL038C|YP2
S000001857	TUB2	YFL037W|ARM10|SHE8
S000001858	RPO41	YFL036W
S000001859	MOB2	YFL034C-B|YFL035C|YFL035C-A
S000001860	YFL034W	YFL034W
S000001861	RIM15	YFL033C|TAK1
S000001863	HAC1	YFL031W|ERN4|IRE15
S000001864	AGX1	YFL030W|alanine--glyoxylate transaminase
S000001865	CAK1	YFL029C|CIV1
S000001866	CAF16	YFL028C|putative ATP-binding cassette family ATPase CAF16
S000001867	GYP8	YFL027C
S000001868	STE2	YFL026W
S000001869	BST1	YFL025C|PER17
S000001870	EPL1	YFL024C
S000001871	BUD27	YFL023W|URI1
S000001872	FRS2	YFL022C|phenylalanine--tRNA ligase subunit alpha
S000001873	GAT1	YFL021W|MEP80|NIL1
S000001874	PAU5	YFL020C
S000001876	LPD1	YFL018C|HPD1|dihydrolipoyl dehydrogenase
S000001877	GNA1	YFL017C|PAT1|glucosamine 6-phosphate N-acetyltransferase
S000001878	MDJ1	YFL016C
S000001880	HSP12	YFL014W|GLP1|HOR5
S000001881	IES1	YFL013C
S000001882	YFL012W	YFL012W
S000001883	HXT10	YFL011W
S000001884	WWM1	YFL010C
S000001885	CDC4	YFL009W|SCF ubiquitin ligase complex subunit CDC4
S000001886	SMC1	YFL008W|CHL10|cohesin subunit SMC1
S000001887	BLM10	YFL007W|YFL006W
S000001889	SEC4	YFL005W|SRO6
S000001890	VTC2	YFL004W|PHM1
S000001891	MSH4	YFL003C|MutS family protein MSH4
S000001894	SPB4	YFL002C
S000001895	DEG1	YFL001W|HRM3|PUS3|pseudouridine synthase DEG1
S000001897	LOC1	YFR001W
S000001898	NIC96	YFR002W
S000001899	YPI1	YFR003C
S000001900	RPN11	YFR004W|MPR1|proteasome regulatory particle lid subunit RPN11
S000001901	SAD1	YFR005C
S000001902	YFR006W	YFR006W|putative Xaa-Pro dipeptidase
S000001903	YFH7	YFR007W|AIM12
S000001904	FAR7	YFR008W
S000001905	GCN20	YFR009W|putative AAA family ATPase GCN20
S000001906	UBP6	YFR010W
S000001907	AIM13	YFR011C|MCS19
S000001908	DCV1	YFR012W
S000001909	IOC3	YFR013W
S000001910	CMK1	YFR014C
S000001911	GSY1	YFR015C|glycogen (starch) synthase GSY1
S000001912	YFR016C	YFR016C
S000001913	IGD1	YFR017C
S000001914	YFR018C	YFR018C
S000001915	FAB1	YFR019W|1-phosphatidylinositol-3-phosphate 5-kinase|SVL7
S000001916	YFR020W	YFR020W
S000001917	ATG18	YFR021W|AUT10|CVT18|NMR1|SVP1
S000001918	ROG3	YFR022W|ART7
S000001919	PES4	YFR023W
S000001921	HIS2	YFR025C|histidinol-phosphatase
S000001922	ULI1	YFR026C
S000001923	ECO1	YFR027W|CTF7
S000001924	CDC14	YFR028C|OAF3
S000001925	PTR3	YFR029W|RAA2|SSY3
S000001926	MET10	YFR030W|sulfite reductase subunit alpha
S000001927	SMC2	YFR031C|condensin subunit SMC2
S000001928	RRT5	YFR032C
S000001929	QCR6	YFR033C|COR3|UCR6|ubiquinol--cytochrome-c reductase subunit 6
S000001930	PHO4	YFR034C|phoD
S000001931	YFR035C	YFR035C
S000001932	CDC26	YFR036W|HIT3|SCD26|anaphase promoting complex subunit CDC26
S000001933	RSC8	YFR037C|SWH3
S000001934	IRC5	YFR038W
S000001935	YFR039C	YFR039C
S000001936	SAP155	YFR040W
S000001937	ERJ5	YFR041C
S000001938	KEG1	YFR042W
S000001939	IRC6	YFR043C
S000001940	DUG1	YFR044C|metallodipeptidase
S000001941	YFR045W	YFR045W
S000001942	CNN1	YFR046C
S000001943	BNA6	YFR047C|QPT1|nicotinate-nucleotide diphosphorylase (carboxylating)
S000001944	RMD8	YFR048W
S000001945	YMR31	YFR049W|mitochondrial 37S ribosomal protein YMR31
S000001946	PRE4	YFR050C|proteasome core particle subunit beta 7
S000001947	RET2	YFR051C
S000001948	RPN12	YFR052W|NIN1|proteasome regulatory particle lid subunit RPN12
S000001949	HXK1	YFR053C|hexokinase 1
S000001952	IRC7	YFR055W|cysteine-S-conjugate beta-lyase IRC7
S000001953	YFR057W	YFR057W
S000001954	MEI4	YER044C-A
S000001955	AUA1	YFL010W-A|YFL011W-A
S000001956	CWP2	YKL096W-A|LPR1|YKL097W-A
S000001957	SAE3	YHR079C-A|YHR079BC|YHR079C-B
S000002100	VMA10	YHR039C-A|YHR039BC|YHR039C-B
S000002101	SFT1	YKL006C-A
S000002103	PMP2	YEL017C-A
S000002104	RPL2A	YFR031C-A|RPL5B|ribosomal 60S subunit protein L2A
S000002127	SBH2	YER019C-A|SEB2
S000002128	SBH1	YER087C-B|SEB1|YER087C-A
S000002129	ERP1	YAR002C-A
S000002133	PTC6	YCR079W|AUP1|PPP2
S000002134	FUN19	YAL034C
S000002135	RPL34A	YER056C-A|ribosomal 60S subunit protein L34A
S000002140	TDA8	YAL064C-A|YAL065C-A
S000002141	YAL064W-B	YAL064W-B
S000002142	PAU8	YAL068C
S000002144	YAR066W	YAR066W
S000002146	YBL005W-A	YBL005W-A|gag protein
S000002147	YBL005W-B	YBL005W-B|gag-pol fusion protein
S000002148	YBL100W-A	YBL100W-A|TY2A_B|YBL101W-A|gag protein
S000002149	YBL100W-B	YBL100W-B|TY2B_B|YBL101W-B|gag-pol fusion protein
S000002151	YBL111C	YBL111C
S000002152	YBL112C	YBL112C
S000002153	YBL113C	YBL113C
S000002154	YBR012W-A	YBR012W-A|gag protein
S000002155	YBR012W-B	YBR012W-B|gag-pol fusion protein
S000002156	RPL19A	YBR084C-A|ribosomal 60S subunit protein L19A
S000002157	NHP6B	YBR089C-A|YBR090C-A
S000002158	YSY6	YBR162W-A
S000002159	RMD1	YDL001W
S000002160	NHP10	YDL002C|HMO2
S000002161	MCD1	YDL003W|PDS3|RHC21|SCC1
S000002162	ATP16	YDL004W|F1F0 ATP synthase subunit delta
S000002163	MED2	YDL005C
S000002164	PTC1	YDL006W|CWH47|KCS2|TPD1
S000002165	RPT2	YDL007W|YHS4|YTA5|proteasome regulatory particle base subunit RPT2
S000002166	APC11	YDL008W|anaphase promoting complex subunit 11
S000002167	YDL009C	YDL009C
S000002168	GRX6	YDL010W|glutathione-disulfide reductase GRX6
S000002170	YDL012C	YDL012C
S000002171	SLX5	YDL013W|HEX3|SUMO-targeted ubiquitin ligase complex subunit SLX5|ULS2
S000002172	NOP1	YDL014W|LOT3
S000002173	TSC13	YDL015C|trans-2-enoyl-CoA reductase (NADPH) TSC13
S000002175	CDC7	YDL017W|LSD6|SAS1
S000002176	ERP3	YDL018C
S000002177	OSH2	YDL019C
S000002178	RPN4	YDL020C|SON1|UFD5
S000002179	GPM2	YDL021W|phosphoglycerate mutase family protein GPM2
S000002180	GPD1	YDL022W|DAR1|HOR1|OSG1|OSR5|glycerol-3-phosphate dehydrogenase (NAD(+)) GPD1
S000002182	DIA3	YDL024C
S000002183	RTK1	YDL025C
S000002185	YDL027C	YDL027C
S000002186	MPS1	YDL028C|PAC8|RPK1
S000002187	ARP2	YDL029W|ACT2|actin-related protein 2
S000002188	PRP9	YDL030W
S000002189	DBP10	YDL031W
S000002191	SLM3	YDL033C|MTO2|MTU1
S000002193	GPR1	YDL035C
S000002194	PUS9	YDL036C|pseudouridine synthase PUS9
S000002195	BSC1	YDL037C
S000002197	PRM7	YDL039C|YDL038C
S000002198	NAT1	YDL040C|AAA1|NAA15
S000002200	SIR2	YDL042C|MAR1
S000002201	PRP11	YDL043C|RNA11
S000002202	MTF2	YDL044C|NAM1
S000002203	FAD1	YDL045C|FMN adenylyltransferase
S000002204	NPC2	YDL046W
S000002205	SIT4	YDL047W
S000002206	STP4	YDL048C
S000002207	KNH1	YDL049C
S000002209	LHP1	YDL051W|LAH1|YLA1
S000002210	SLC1	YDL052C|1-acylglycerol-3-phosphate O-acyltransferase SLC1
S000002211	PBP4	YDL053C
S000002212	MCH1	YDL054C
S000002213	PSA1	YDL055C|MPG1|SRB1|VIG9|mannose-1-phosphate guanylyltransferase
S000002214	MBP1	YDL056W
S000002215	YDL057W	YDL057W
S000002216	USO1	YDL058W|INT1
S000002217	RAD59	YDL059C
S000002218	TSR1	YDL060W
S000002219	RPS29B	YDL061C|YS29B|ribosomal 40S subunit protein S29B
S000002221	SYO1	YDL063C
S000002222	UBC9	YDL064W|E2 SUMO-conjugating protein UBC9
S000002223	PEX19	YDL065C|PAS12
S000002224	IDP1	YDL066W|isocitrate dehydrogenase (NADP(+)) IDP1
S000002225	COX9	YDL067C|cytochrome c oxidase subunit VIIa
S000002227	CBS1	YDL069C
S000002228	BDF2	YDL070W
S000002230	YET3	YDL072C
S000002231	YDL073W	YDL073W
S000002232	BRE1	YDL074C|E3 ubiquitin-protein ligase BRE1
S000002233	RPL31A	YDL075W|RPL34|ribosomal 60S subunit protein L31A
S000002234	RXT3	YDL076C
S000002235	VAM6	YDL077C|CVT4|VPL18|VPL22|VPS39
S000002236	MDH3	YDL078C|malate dehydrogenase MDH3
S000002237	MRK1	YDL079C
S000002238	THI3	YDL080C|KID1|branched-chain-2-oxoacid decarboxylase THI3
S000002239	RPP1A	YDL081C|RPLA1|ribosomal protein P1A
S000002240	RPL13A	YDL082W|ribosomal 60S subunit protein L13A
S000002241	RPS16B	YDL083C|ribosomal 40S subunit protein S16B
S000002242	SUB2	YDL084W
S000002243	NDE2	YDL085W|NADH-ubiquinone reductase (H(+)-translocating) NDE2|NDH2
S000002244	YDL086W	YDL086W|carboxymethylenebutenolidase
S000002245	LUC7	YDL087C|EPE1|EXM2
S000002246	ASM4	YDL088C|NUP59
S000002247	NUR1	YDL089W
S000002248	RAM1	YDL090C|DPR1|FUS8|SCG2|SGP2|STE16|protein farnesyltransferase
S000002249	UBX3	YDL091C
S000002250	SRP14	YDL092W
S000002251	PMT5	YDL093W
S000002253	PMT1	YDL095W
S000002255	RPN6	YDL097C|NAS4|proteasome regulatory particle lid subunit RPN6
S000002256	SNU23	YDL098C
S000002257	BUG1	YDL099W
S000002258	GET3	YDL100C|ARR4|guanine nucleotide exchange factor GET3
S000002259	DUN1	YDL101C
S000002260	POL3	YDL102W|CDC2|HPR6|TEX1
S000002261	QRI1	YDL103C|UAP1|UDP-N-acetylglucosamine diphosphorylase
S000002262	QRI7	YDL104C
S000002263	NSE4	YDL105W|QRI2
S000002264	PHO2	YDL106C|BAS2|GRF10|phoB
S000002265	MSS2	YDL107W
S000002266	KIN28	YDL108W
S000002267	YDL109C	YDL109C|putative lipase
S000002268	TMA17	YDL110C
S000002269	RRP42	YDL111C
S000002270	TRM3	YDL112W
S000002271	ATG20	YDL113C|CVT20|SNX42
S000002272	YDL114W	YDL114W|short-chain dehydrogenase/reductase
S000002273	IWR1	YDL115C
S000002274	NUP84	YDL116W
S000002275	CYK3	YDL117W
S000002277	YDL119C	YDL119C
S000002278	YFH1	YDL120W
S000002279	YDL121C	YDL121C
S000002280	UBP1	YDL122W
S000002281	SNA4	YDL123W
S000002282	YDL124W	YDL124W|aldo-keto reductase superfamily protein
S000002283	HNT1	YDL125C
S000002284	CDC48	YDL126C|AAA family ATPase CDC48
S000002285	PCL2	YDL127W|CLN4
S000002286	VCX1	YDL128W|HUM1|MNR1
S000002287	YDL129W	YDL129W
S000002288	RPP1B	YDL130W|RPL44'|RPLA3|ribosomal protein P1B
S000002289	LYS21	YDL131W|homocitrate synthase LYS21
S000002290	CDC53	YDL132W|cullin CDC53
S000002291	SRF1	YDL133W
S000002292	PPH21	YDL134C|PPH1
S000002293	RPL41B	YDL133C-A|RPL47B|YDL134C-A|ribosomal 60S subunit protein L41B
S000002294	RDI1	YDL135C
S000002295	RPL35B	YDL136W|SOS2|ribosomal 60S subunit protein L35B
S000002296	ARF2	YDL137W
S000002297	RGT2	YDL138W
S000002298	SCM3	YDL139C
S000002299	RPO21	YDL140C|RPB1|RPB220|SUA8
S000002300	BPL1	YDL141W|ACC2|biotin--[acetyl-CoA-carboxylase] ligase BPL1
S000002301	CRD1	YDL142C|CLS1|cardiolipin synthase
S000002302	CCT4	YDL143W|ANC2|TCP4
S000002303	YDL144C	YDL144C
S000002304	COP1	YDL145C|RET1|SEC33|SOO1
S000002305	LDB17	YDL146W
S000002306	RPN5	YDL147W|NAS5|proteasome regulatory particle lid subunit RPN5
S000002307	NOP14	YDL148C|UTP2
S000002308	ATG9	YDL149W|APG9|AUT9|CVT7
S000002309	RPC53	YDL150W|RPC4
S000002312	SAS10	YDL153C|UTP3
S000002313	MSH5	YDL154W|MutS family protein MSH5
S000002314	CLB3	YDL155W
S000002315	CMR1	YDL156W
S000002316	YDL157C	YDL157C
S000002318	STE7	YDL159W
S000002319	DHH1	YDL160C
S000002320	ENT1	YDL161W
S000002323	CDC9	YDL164C|DNA ligase (ATP) CDC9|MMS8
S000002324	CDC36	YDL165W|CCR4-NOT core subunit CDC36|DNA19|NOT2
S000002325	FAP7	YDL166C
S000002326	NRP1	YDL167C
S000002327	SFA1	YDL168W|ADH5|bifunctional alcohol dehydrogenase/S-(hydroxymethyl)glutathione dehydrogenase
S000002328	UGX2	YDL169C
S000002329	UGA3	YDL170W
S000002330	GLT1	YDL171C|glutamate synthase (NADH)
S000002332	PAR32	YDL173W
S000002333	DLD1	YDL174C
S000002334	AIR2	YDL175C
S000002335	YDL176W	YDL176W
S000002336	YDL177C	YDL177C
S000002337	DLD2	YDL178W|AIP2
S000002338	PCL9	YDL179W
S000002339	YDL180W	YDL180W
S000002340	INH1	YDL181W
S000002341	LYS20	YDL182W|homocitrate synthase LYS20
S000002342	YDL183C	YDL183C
S000002343	RPL41A	YDL184C|RPL47A|ribosomal 60S subunit protein L41A
S000002344	VMA1	YDL185W|CLS8|TFP1
S000002345	YDL186W	YDL186W
S000002347	PPH22	YDL188C|PPH2
S000002348	RBS1	YDL189W
S000002349	UFD2	YDL190C|ubiquitin-ubiquitin ligase UFD2
S000002350	RPL35A	YDL191W|SOS1|ribosomal 60S subunit protein L35A
S000002351	ARF1	YDL192W
S000002352	NUS1	YDL193W
S000002353	SNF3	YDL194W
S000002354	SEC31	YDL195W|WEB1
S000002356	ASF2	YDL197C
S000002357	GGC1	YDL198C|SHM1|YHM1
S000002358	YDL199C	YDL199C
S000002359	MGT1	YDL200C|MGMT
S000002360	TRM8	YDL201W
S000002361	MRPL11	YDL202W|mitochondrial 54S ribosomal protein YmL11
S000002362	ACK1	YDL203C
S000002363	RTN2	YDL204W
S000002364	HEM3	YDL205C|OLE2|hydroxymethylbilane synthase
S000002365	YDL206W	YDL206W
S000002366	GLE1	YDL207W|BRR3|RSS1
S000002367	NHP2	YDL208W
S000002368	CWC2	YDL209C|NTC40
S000002369	UGA4	YDL210W
S000002370	YDL211C	YDL211C
S000002371	SHR3	YDL212W|APF1
S000002372	NOP6	YDL213C
S000002373	PRR2	YDL214C
S000002374	GDH2	YDL215C|GDH-B|GDHB|glutamate dehydrogenase (NAD(+))
S000002375	RRI1	YDL216C|CSN5|JAB1
S000002376	TIM22	YDL217C
S000002377	YDL218W	YDL218W
S000002378	DTD1	YDL219W
S000002379	CDC13	YDL220C|EST4
S000002381	FMP45	YDL222C
S000002382	HBT1	YDL223C
S000002383	WHI4	YDL224C
S000002384	SHS1	YDL225W|SEP7|septin SHS1
S000002385	GCS1	YDL226C
S000002386	HO	YDL227C
S000002388	SSB1	YDL229W|Hsp70 family ATPase SSB1|YG101
S000002389	PTP1	YDL230W
S000002390	BRE4	YDL231C
S000002391	OST4	YDL232W
S000002392	MFG1	YDL233W
S000002393	GYP7	YDL234C
S000002394	YPD1	YDL235C
S000002395	PHO13	YDL236W
S000002396	AIM6	YDL237W|LRC1
S000002397	GUD1	YDL238C|guanine deaminase
S000002398	ADY3	YDL239C
S000002399	LRG1	YDL240W
S000002400	YDL241W	YDL241W
S000002402	AAD4	YDL243C
S000002403	THI13	YDL244W
S000002404	HXT15	YDL245C
S000002405	SOR2	YDL246C|L-iditol 2-dehydrogenase SOR2
S000002406	MPH2	YDL247W
S000002407	COS7	YDL248W
S000002408	NTH1	YDR001C|alpha,alpha-trehalase NTH1
S000002409	YRB1	YDR002W|CST20|HTN1|SFO1
S000002410	RCR2	YDR003W|SSH5
S000002411	RAD57	YDR004W
S000002412	MAF1	YDR005C
S000002413	SOK1	YDR006C
S000002414	TRP1	YDR007W|phosphoribosylanthranilate isomerase TRP1
S000002416	GAL3	YDR009W|transcriptional regulator GAL3
S000002418	SNQ2	YDR011W|ATP-binding cassette transporter SNQ2
S000002419	RPL4B	YDR012W|ribosomal 60S subunit protein L4B
S000002420	PSF1	YDR013W|CDC101
S000002421	RAD61	YDR014W|WPL1
S000002423	DAD1	YDR016C
S000002424	KCS1	YDR017C|inositol polyphosphate kinase KCS1
S000002425	YDR018C	YDR018C|putative acyltransferase
S000002426	GCV1	YDR019C|GSD1|glycine decarboxylase subunit T
S000002427	DAS2	YDR020C|RRT3|putative uridine kinase DAS2
S000002428	FAL1	YDR021W
S000002429	ATG31	YDR022C|CIS1
S000002430	SES1	YDR023W|serine--tRNA ligase SES1
S000002432	RPS11A	YDR025W|ribosomal 40S subunit protein S11A
S000002433	NSI1	YDR026C
S000002434	VPS54	YDR027C|CGP1|LUV1|TCS3
S000002435	REG1	YDR028C|HEX2|PZF240|SPP43|SRN1
S000002437	RAD28	YDR030C
S000002438	MIC14	YDR031W
S000002439	PST2	YDR032C
S000002440	MRH1	YDR033W
S000002441	LYS14	YDR034C
S000002442	ARO3	YDR035W|3-deoxy-7-phosphoheptulonate synthase ARO3
S000002443	EHD3	YDR036C|MRP5
S000002444	KRS1	YDR037W|GCD5|lysine--tRNA ligase KRS1
S000002445	ENA5	YDR038C|putative Na(+)-exporting P-type ATPase ENA5
S000002446	ENA2	YDR039C|Na(+)-exporting P-type ATPase ENA2
S000002447	ENA1	YDR040C|HOR6|Na(+)/Li(+)-exporting P-type ATPase ENA1|PMR2
S000002448	RSM10	YDR041W|mitochondrial 37S ribosomal protein RSM10
S000002449	YDR042C	YDR042C
S000002450	NRG1	YDR043C
S000002451	HEM13	YDR044W|coproporphyrinogen oxidase
S000002452	RPC11	YDR045C
S000002453	BAP3	YDR046C|PAP1
S000002454	HEM12	YDR047W|HEM6|uroporphyrinogen decarboxylase HEM12
S000002456	VMS1	YDR049W
S000002457	TPI1	YDR050C|triose-phosphate isomerase TPI1
S000002458	DET1	YDR051C
S000002459	DBF4	YDR052C|DNA52|LSD7
S000002461	CDC34	YDR054C|DNA6|SCF E2 ubiquitin-protein ligase catalytic subunit CDC34|UBC3
S000002462	PST1	YDR055W|HPF2
S000002463	YDR056C	YDR056C
S000002464	YOS9	YDR057W
S000002465	TGL2	YDR058C
S000002466	UBC5	YDR059C|E2 ubiquitin-conjugating protein UBC5
S000002467	MAK21	YDR060W|NOC1
S000002468	YDR061W	YDR061W
S000002469	LCB2	YDR062W|SCS1|TSC1|serine C-palmitoyltransferase LCB2
S000002470	AIM7	YDR063W|GMF|GMF1
S000002471	RPS13	YDR064W|RPS13B|RPS13C|ribosomal 40S subunit protein S13
S000002472	RRG1	YDR065W
